
映像名称                       PID 会话名              会话#       内存使用 
svchost.exe                  19844 Services                   0    109,312 K
msedgewebview2.exe           20216 Console                    1     94,076 K
msedgewebview2.exe           20224 Console                    1     37,032 K
msedgewebview2.exe           20288 Console                    1     16,272 K
msedgewebview2.exe           16076 Console                    1    123,752 K
ctfmon.exe                   17488 Console                    1     36,464 K
TextInputHost.exe            15448 Console                    1    176,272 K
RtkAudUService64.exe         13236 Console                    1     11,928 K
explorer.exe                 17052 Console                    1    416,008 K
GBT_DL_LIB.exe               21488 Console                    1     16,236 K
wetype_server.exe            22296 Console                    1    380,180 K
conhost.exe                  22352 Console                    1      8,160 K
wetype_update.exe            22372 Console                    1     88,828 K
wetype_renderer.exe          14296 Console                    1    119,556 K
GraphicsCardEngine.exe       23316 Console                    1     17,308 K
TortoiseProc.exe              7184 Console                    1     21,880 K
WindowsTerminal.exe          22404 Console                    1    343,880 K
firefox.exe                  22184 Console                    1    454,020 K
crashhelper.exe              22100 Console                    1      8,132 K
firefox.exe                  21860 Console                    1    183,312 K
firefox.exe                   3076 Console                    1     14,620 K
firefox.exe                  10112 Console                    1    166,568 K
firefox.exe                  22592 Console                    1     24,312 K
firefox.exe                  23624 Console                    1     62,536 K
firefox.exe                  23896 Console                    1     17,168 K
firefox.exe                  23944 Console                    1    187,124 K
firefox.exe                  24004 Console                    1     77,980 K
firefox.exe                  23200 Console                    1    113,592 K
Rolan.exe                     2248 Console                    1      1,896 K
svchost.exe                   5840 Services                   0      8,448 K
svchost.exe                  25332 Services                   0     17,868 K
svchost.exe                  26488 Services                   0     13,652 K
svchost.exe                  26256 Services                   0     64,492 K
svchost.exe                   4524 Services                   0      9,596 K
svchost.exe                  12768 Console                    1      7,640 K
firefox.exe                  19068 Console                    1    168,684 K
XboxPcAppFT.exe              11576 Console                    1     17,276 K
svchost.exe                  12728 Services                   0      8,412 K
svchost.exe                  10736 Services                   0     12,164 K
svchost.exe                  16240 Services                   0      3,236 K
Weixin.exe                   15032 Console                    1    473,336 K
crashpad_handler.exe          6196 Console                    1      9,060 K
svchost.exe                  28900 Services                   0      7,456 K
ShellExperienceHost.exe       6084 Console                    1    101,324 K
RuntimeBroker.exe            23212 Console                    1     30,196 K
svchost.exe                  28940 Services                   0      1,984 K
svchost.exe                   2796 Console                    1     11,124 K
clash-verge.exe              28988 Console                    1    332,976 K
msedgewebview2.exe           26940 Console                    1    106,740 K
msedgewebview2.exe           26392 Console                    1     10,180 K
msedgewebview2.exe           13524 Console                    1     91,040 K
msedgewebview2.exe           13512 Console                    1     27,772 K
msedgewebview2.exe           14552 Console                    1     12,620 K
msedgewebview2.exe           31216 Console                    1    470,428 K
verge-mihomo.exe             26156 Console                    1    198,064 K
conhost.exe                  31124 Console                    1      3,248 K
svchost.exe                  33616 Services                   0      4,908 K
svchost.exe                  32672 Services                   0      6,320 K
svchost.exe                  13080 Services                   0      9,544 K
NgcIso.exe                   20400 Services                   0     22,456 K
svchost.exe                  39444 Services                   0     24,252 K
msedge.exe                   37148 Console                    1    267,024 K
msedge.exe                   37084 Console                    1     21,108 K
msedge.exe                   36816 Console                    1     42,200 K
msedge.exe                   36680 Console                    1     13,464 K
msedge.exe                   32412 Console                    1     52,920 K
msedge.exe                   30232 Console                    1     33,156 K
msedge.exe                   39904 Console                    1    181,856 K
msedge.exe                   39712 Console                    1     60,672 K
msedge.exe                   23888 Console                    1     13,452 K
msedge.exe                    7428 Console                    1     21,356 K
msedge.exe                   28072 Console                    1      9,616 K
RuntimeBroker.exe            26736 Console                    1      9,480 K
conhost.exe                  37580 Console                    1      2,644 K
bun.exe                      35328 Console                    1     23,332 K
bun.exe                      33840 Console                    1     24,304 K
node.exe                     32916 Console                    1     45,732 K
node.exe                     22596 Console                    1     42,776 K
esbuild.exe                  10788 Console                    1    398,640 K
esbuild.exe                  38336 Console                    1     53,344 K
firefox.exe                  11580 Console                    1      9,668 K
firefox.exe                  37168 Console                    1     11,736 K
firefox.exe                  40840 Console                    1    561,108 K
Proma.exe                     2960 Console                    1    130,868 K
Proma.exe                    35216 Console                    1    146,316 K
Proma.exe                    30984 Console                    1    145,724 K
Proma.exe                    28824 Console                    1     52,672 K
Proma.exe                    42512 Console                    1     30,780 K
Proma.exe                    26544 Console                    1     46,868 K
conhost.exe                  33572 Console                    1      5,312 K
bun.exe                      37160 Console                    1     16,236 K
bun.exe                       3784 Console                    1     23,172 K
node.exe                     33516 Console                    1     37,772 K
node.exe                     13376 Console                    1     38,188 K
esbuild.exe                  43420 Console                    1    391,544 K
esbuild.exe                  42672 Console                    1     55,660 K
firefox.exe                  44800 Console                    1    311,456 K
conhost.exe                  28512 Console                    1      4,336 K
bun.exe                       4364 Console                    1     25,024 K
bun.exe                      36100 Console                    1     16,568 K
node.exe                     33808 Console                    1     43,648 K
node.exe                     32548 Console                    1     41,764 K
esbuild.exe                   4924 Console                    1    371,600 K
esbuild.exe                  37500 Console                    1     54,296 K
conhost.exe                  39968 Console                    1      6,340 K
bun.exe                      35360 Console                    1     20,464 K
bun.exe                      35260 Console                    1     27,160 K
node.exe                     36380 Console                    1     48,116 K
node.exe                     34404 Console                    1     41,984 K
esbuild.exe                   9948 Console                    1    392,064 K
